SNP	SNP_Chr	SNP_Start	Number_genes	List_genes
kgp1625425_C	chr11	104991190	115	A_23_P171143, A_23_P502413, A_24_P120462, A_23_P397248, A_23_P82351, A_23_P411833, A_23_P422981, A_32_P69166, A_23_P129174, A_24_P133162, A_23_P379071, A_23_P57118, A_23_P65278, A_23_P311144, A_23_P3302, A_23_P252388, A_32_P184464, A_32_P787109, A_23_P108294, A_23_P132826, A_23_P96872, A_32_P203099, A_23_P384635, A_23_P102634, A_32_P34444, A_23_P23996, A_24_P165545, A_23_P144165, A_24_P297816, A_32_P85106, A_23_P361544, A_23_P36689, A_32_P404549, A_32_P19806, A_23_P207174, A_23_P350698, A_23_P77714, A_24_P160680, A_24_P401491, A_23_P391844, A_24_P275585, A_24_P250650, A_23_P111361, A_23_P217208, A_23_P300076, A_23_P45811, A_23_P326931, A_23_P160567, A_23_P67569, A_23_P396724, A_23_P54488, A_23_P146294, A_23_P112004, A_32_P61480, A_23_P71368, A_23_P127915, A_24_P233014, A_32_P4262, A_24_P63078, A_32_P61495, A_23_P102950, A_23_P147397, A_23_P92120, A_23_P92517, A_24_P942346, A_23_P45955, A_23_P83200, A_32_P14721, A_24_P286951, A_23_P386384, A_23_P355510, A_23_P348253, A_23_P61031, A_23_P424561, A_23_P404667, A_23_P160167, A_23_P129367, A_24_P331779, A_24_P336137, A_23_P313652, A_23_P422732, A_23_P81717, A_23_P362148, A_32_P175715, A_23_P428248, A_23_P319549, A_23_P312874, A_23_P383679, A_23_P28186, A_23_P308722, A_32_P56624, A_24_P58488, A_24_P247026, A_23_P103433, A_23_P54612, A_23_P8702, A_23_P41194, A_23_P393025, A_32_P141418, A_23_P384532, A_23_P340822, A_24_P942921, A_24_P115651, A_23_P421054, A_23_P414281, A_23_P73150, A_23_P29663, A_23_P156402, A_23_P255876, A_23_P75063, A_23_P33583, A_23_P342709, A_32_P211418, A_23_P394377, A_23_P92860
rs1483025_A	chr11	105005936	58	A_23_P82351, A_23_P411833, A_23_P171143, A_23_P502413, A_24_P133162, A_23_P14975, A_24_P47988, A_23_P397248, A_24_P398781, A_24_P120462, A_23_P26386, A_32_P69166, A_23_P361544, A_24_P275585, A_23_P324523, A_23_P5211, A_23_P129174, A_24_P250650, A_23_P92562, A_32_P787109, A_23_P65278, A_23_P160567, A_23_P357207, A_23_P132826, A_23_P3302, A_23_P108294, A_23_P32135, A_23_P252388, A_23_P326931, A_23_P424878, A_32_P19806, A_23_P36689, A_23_P102634, A_32_P61480, A_23_P67569, A_24_P165545, A_23_P111361, A_23_P396724, A_24_P58488, A_24_P336137, A_23_P386384, A_23_P424561, A_23_P320242, A_23_P147397, A_24_P297816, A_23_P112004, A_32_P203099, A_24_P286951, A_23_P160167, A_23_P391844, A_23_P127915, A_23_P155301, A_24_P160680, A_23_P300076, A_32_P404549, A_23_P379071, A_23_P40315, A_23_P102950
rs1847293_G	chr11	104979669	23	A_23_P329361, A_23_P92562, A_23_P147397, A_24_P165545, A_23_P77714, A_23_P56659, A_23_P407112, A_23_P320242, A_23_P312271, A_24_P280706, A_24_P203298, A_23_P76914, A_23_P406135, A_32_P204205, A_23_P90933, A_23_P360990, A_32_P61480, A_23_P30693, A_24_P381975, A_23_P257668, A_23_P76983, A_32_P3955, A_23_P156180
rs4147268_T	chr1	217084292	13	A_23_P55632, A_23_P350698, A_24_P165545, A_23_P336612, A_32_P61480, A_32_P410753, A_32_P4262, A_23_P422732, A_24_P491397, A_32_P19806, A_32_P141418, A_23_P329340, A_23_P76983
rs1145786_G	chr6	91621876	9	A_23_P93141, A_23_P67785, A_23_P21162, A_24_P250650, A_23_P427014, A_23_P424900, A_24_P912048, A_23_P60599, A_23_P27528
rs9349637_G	chr6	52469023	7	A_23_P48229, A_32_P99753, A_24_P595717, A_32_P204205, A_23_P152949, A_23_P43846, A_23_P255876
kgp2263580_T	chr12	122591751	5	A_24_P310009, A_24_P379353, A_24_P166397, A_24_P218688, A_23_P156852
kgp4823739_A	chr12	122606176	5	A_24_P310009, A_24_P379353, A_24_P166397, A_24_P218688, A_23_P156852
kgp11848173_C	chr6	22565043	2	A_24_P37519, A_23_P48229
kgp6246477_G	chr20	32737218	2	A_23_P256455, A_23_P29684
rs6059692_C	chr20	32746203	1	A_23_P256455
kgp6226708_T	chr6	53894790	1	A_32_P453321
kgp1987981_T	chr20	32738612	1	A_23_P256455
rs4436447_A	chr1	217070040	1	A_24_P165545
