SNP	SNP_Chr	SNP_Start	Number_genes	SNP_BIO
kgp1625425_C	chr11	104991190	172	nothing
rs1483025_A	chr11	105005936	155	CASP5 RefSeq Summary (NM_001136110): This gene encodes a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes which undergo proteolytic processing at conserved aspartic residues to produce two subunits, large and small, that dimerize to form the active enzyme. Overexpression of the active form of this enzyme induces apoptosis in fibroblasts. Max, a central component of the Myc/Max/Mad transcription regulation network important for cell growth, differentiation, and apoptosis, is cleaved by this protein; this process requires Fas-mediated dephosphorylation of Max. The expression of this gene is regulated by interferon-gamma and lipopolysaccharide. Alternatively spliced transcript variants have been identified for this gene.
rs17740112_G	chr18	33791013	83	nothing
kgp741070_T	chr21	33558967	69	SON RefSeq Summary (NM_001291412): This gene encodes a protein that contains multiple simple repeats. The encoded protein binds RNA and promotes pre-mRNA splicing, particularly of transcripts with poor splice sites. The protein also recognizes a specific DNA sequence found in the human hepatitis B virus (HBV) and represses HBV core promoter activity. There is a pseudogene for this gene on chromosome 1.
rs1847293_G	chr11	104979669	54	nothing
rs1792753_T	chr11	104930676	43	nothing
rs1785864_A	chr11	104955489	35	CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms.
kgp6979815_A	chr2	559199	24	AC093326.3
rs1699081_G	chr11	104958571	24	CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms.
rs3826607_T	chr18	33766760	18	nothing
rs2697806_G	chr2	233360507	18	DGKD RefSeq Summary (NM_152879): This gene encodes a cytoplasmic enzyme that phosphorylates diacylglycerol to produce phosphatidic acid. Diacylglycerol and phosphatidic acid are two lipids that act as second messengers in signaling cascades. Their cellular concentrations are regulated by the encoded protein, and so it is thought to play an important role in cellular signal transduction. Alternative splicing results in two transcript variants encoding different isoforms.
rs2991408_A	chr13	67900750	9	nothing
kgp3700677_G	chr8	3921805	7	CSMD1 Description: The sequence shown here is derived from an Ensembl automatic analysis pipeline and should be considered as preliminary data.
rs10280625_C	chr7	41075387	7	nothing
rs11045_T	chr15	96883321	7	nothing
rs4147268_T	chr1	217084292	5	ESRRG RefSeq Summary (NM_206595): This gene encodes a member of the estrogen receptor-related receptor (ESRR) family, which belongs to the nuclear hormone receptor superfamily. All members of the ESRR family share an almost identical DNA binding domain, which is composed of two C4-type zinc finger motifs. The ESRR members are orphan nuclear receptors; they bind to the estrogen response element and steroidogenic factor 1 response element, and activate genes controlled by both response elements in the absence of any ligands. The ESRR family is closely related to the estrogen receptor (ER) family. They share target genes, co-regulators and promoters, and by targeting the same set of genes, the ESRRs seem to interfere with the ER-mediated estrogen response in various ways. It has been reported that the family member encoded by this gene functions as a transcriptional activator of DNA cytosine-5-methyltransferases 1 (Dnmt1) expression by direct binding to its response elements in the DNMT1 promoters, modulates cell proliferation and estrogen signaling in breast cancer, and negatively regulates bone morphogenetic protein 2-induced osteoblast differentiation and bone formation. Multiple alternatively spliced transcript variants have been identified, which mainly differ at the 5' end and some of which encode protein isoforms differing in the N-terminal region. TISSUE SPECIFICITY: Expressed in the heart, kidney, brain, lung, bone marrow, adrenal gland, trachea, spinal cord and thyroid gland.
rs2991389_C	chr13	67883743	4	nothing
rs1152843_T	chr3	188430230	3	RefSeq Summary (NM_001167671): This gene encodes a member of a subfamily of LIM domain proteins that are characterized by an N-terminal proline-rich region and three C-terminal LIM domains. The encoded protein localizes to the cell periphery in focal adhesions and may be involved in cell-cell adhesion and cell motility. This protein also shuttles through the nucleus and may function as a transcriptional co-activator. This gene is located at the junction of certain disease-related chromosomal translocations, which result in the expression of chimeric proteins that may promote tumor growth. Alternative splicing results in multiple transcript variants.
kgp2031814_G	chr8	116650468	3	EIF3H Description: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation.
kgp11583676_A	chr2	6836803	2	NRIR RefSeq Summary (NR_126359): This gene is thought to produce a functional long non-coding RNA. This transcript may be a negative regulator of interferon response.
rs4832868_A	chr4	37069574	2	nothing
kgp7015129_A	chr3	188415807	2	LPP RefSeq Summary (NM_001167671): This gene encodes a member of a subfamily of LIM domain proteins that are characterized by an N-terminal proline-rich region and three C-terminal LIM domains. The encoded protein localizes to the cell periphery in focal adhesions and may be involved in cell-cell adhesion and cell motility. This protein also shuttles through the nucleus and may function as a transcriptional co-activator. This gene is located at the junction of certain disease-related chromosomal translocations, which result in the expression of chimeric proteins that may promote tumor growth. Alternative splicing results in multiple transcript variants.
rs10875551_A	chr5	149173134	2	ABLIM3 RefSeq Summary (NM_001301015): The LIM domain is a double zinc finger structure that promotes protein-protein interactions. LIM domain proteins, such as ABLIM3, play roles in embryonic development, cell lineage determination, and cancer (Krupp et al., 2006 [PubMed 16328021]).
rs9571757_A	chr13	67905237	2	nothing
rs1251484_A	chr1	76504146	2	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids 
kgp6539253_C	chr17	66478316	1	PRKCA RefSeq Summary (NM_002737): Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. This kinase has been reported to play roles in many different cellular processes, such as cell adhesion, cell transformation, cell cycle checkpoint, and cell volume control. Knockout studies in mice suggest that this kinase may be a fundamental regulator of cardiac contractility and Ca(2+) handling in myocytes.
rs11061079_T	chr12	131161445	1	nothing
rs4676866_A	chr3	72273331	1	nothing
rs2674948_A	chr17	13070021	1	nothing
kgp6564839_T	chr7	22007489	1	nothing
kgp592086_G	chr1	76522680	1	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
kgp1320229_A	chr1	76517472	1	ST6GALNAC3 RefSeq Summary (NM_152996): ST6GALNAC3 belongs to a family of sialyltransferases that transfer sialic acids from CMP-sialic acid to terminal positions of carbohydrate groups in glycoproteins and glycolipids.
