ID	Chrom	Start	Stop	Name	Mature_ID	Strand	miRBase_Version	GLM_Intercept_Coef	GLM_Aligned_Reads_Coef	GLM_Protocol_Coef	GLM_Smoke_Former_Coef	GLM_Smoke_Never_Coef	GLM_Gender_Coef	GLM_Age_Coef	GLM_ILD_Coef	GLM_COPD_Coef	GLM_Intercept_Std_Error	GLM_Aligned_Reads_Std_Error	GLM_Protocol_Std_Error	GLM_Smoke_Former_Std_Error	GLM_Smoke_Never_Std_Error	GLM_Gender_Std_Error	GLM_Age_Std_Error	GLM_ILD_Std_Error	GLM_COPD_Std_Error	GLM_Intercept_Zvalue	GLM_Aligned_Reads_Zvalue	GLM_Protocol_Zvalue	GLM_Smoke_Former_Zvalue	GLM_Smoke_Never_Zvalue	GLM_Gender_Zvalue	GLM_Age_Zvalue	GLM_ILD_Zvalue	GLM_COPD_Zvalue	GLM_Intercept_Pvalue	GLM_Aligned_Reads_Pvalue	GLM_Protocol_Pvalue	GLM_Smoke_Former_Pvalue	GLM_Smoke_Never_Pvalue	GLM_Gender_Pvalue	GLM_Age_Pvalue	GLM_ILD_Pvalue	GLM_COPD_Pvalue	GLM_ANOVA_Pvalue	GLM_ANOVA_FDR	Mirna_Cluster
MI0000342_MIMAT0004571	MI0000342_MIMAT0004571	chr1	1102503	1102525	hsa-miR-200b-5p	MI0000342_MIMAT0004571	+	miRBase18_mature_miRNA	1.69925986127348	0.214561929468318	1.28960192854012	0.00348613829311533	0.0795400005416824	-0.135982655009339	0.00050354766794602	0.11963321062121	0.0412645448569569	0.288934764270971	0.0167437868088651	0.202715109846069	0.176882998142808	0.190008072391747	0.0714112691344996	0.00343451515407379	0.100889267225442	0.103064623258933	5.88111944770988	12.8144207709762	6.36164679346976	0.0197087245790619	0.418613796458561	-1.90421843299301	0.146613901921133	1.18578728849208	0.400375449423477	4.07500943965783e-09	1.36151266867813e-37	1.99602020023528e-10	0.984275730924836	0.675498405037129	0.0568817420384621	0.883436780121363	0.235706312696731	0.688880003925965	0.438378128205995	0.545578219862261	NA
MI0000342_MIMAT0000318	MI0000342_MIMAT0000318	chr1	1102539	1102561	hsa-miR-200b-3p	MI0000342_MIMAT0000318	+	miRBase18_mature_miRNA	6.6582474318902	0.233934844850984	-0.671582987201147	-0.071567684223952	0.00416392912739867	-0.184587801464145	0.00151702429284035	0.171296082029838	0.019524707192272	0.271400884524197	0.0160634056571698	0.198483773049346	0.164757257338591	0.177543076608277	0.0675690791496759	0.00324963049241265	0.0953940003988922	0.0975259673659733	24.5328877374996	14.5632159109776	-3.38356620737041	-0.434382590363677	0.0234530639377495	-2.73183834657943	0.466829781534348	1.79566934307776	0.200200087418812	6.58679184274029e-133	4.81388606841652e-48	0.000715509538699982	0.664010637985164	0.981288877726579	0.00629820348310809	0.640621666651895	0.0725471203338518	0.841324098807308	0.0839123177432235	0.146108633658427	NA
MI0000737_MIMAT0001620	MI0000737_MIMAT0001620	chr1	1103257	1103279	hsa-miR-200a-5p	MI0000737_MIMAT0001620	+	miRBase18_mature_miRNA	2.62793666904845	0.199575102424739	-0.353180236681271	-0.153173303234776	-0.0858354145234438	-0.044704320517792	0.00310380005720961	0.122264852378557	0.00957198279311511	0.239832700540378	0.0140622881089014	0.172169302026263	0.145588262506167	0.156724272813788	0.0595610832860932	0.00286802473533764	0.0841222418522625	0.0860192537936731	10.9573742993651	14.1922211292491	-2.05135429211066	-1.05209925991313	-0.547684241772997	-0.7505625830051	1.08220825956169	1.45341885435343	0.111277212611895	6.12507259406974e-28	1.02364412039771e-45	0.040232456844484	0.292754011672125	0.583908734207168	0.452915946640908	0.279159999218352	0.14610749469911	0.911396524867975	0.180937333794084	0.275013372144923	NA
MI0000737_MIMAT0000682	MI0000737_MIMAT0000682	chr1	1103295	1103317	hsa-miR-200a-3p	MI0000737_MIMAT0000682	+	miRBase18_mature_miRNA	6.38955018135518	0.198635067894578	-0.500191390980251	-0.000895506693552823	0.0541769913918641	-0.0306085651283548	0.00199575574149527	0.0489589520199706	-0.0480953114055091	0.2453922531434	0.0145224948110668	0.179432313611782	0.148975764817775	0.160533746392046	0.0610903974318729	0.00293811272530664	0.0862451111067699	0.0881723803696172	26.03810878097	13.6777509979352	-2.78763273410419	-0.00601108975441874	0.337480390319654	-0.501037256509732	0.6792645238916	0.567672200681152	-0.545469127678014	1.83455566548867e-149	1.37891948096799e-42	0.00530946985197881	0.995203873174601	0.73575479225019	0.616344902839808	0.496970270376053	0.570257571248987	0.585430907908822	0.403866641301383	0.513720446247074	NA
MI0001641_MIMAT0001536	MI0001641_MIMAT0001536	chr1	1104434	1104456	hsa-miR-429	MI0001641_MIMAT0001536	+	miRBase18_mature_miRNA	5.01564919727323	0.210475949702793	-0.051180213281953	0.0738650125495775	0.17933259585435	-0.00912334134161259	0.000231187314534794	-0.0203458749478198	-0.0174549652048951	0.233256025201377	0.0137928396868529	0.170277365325504	0.1416836741063	0.152646320728288	0.0580459609060102	0.00279169380395909	0.0819424319819696	0.0837697098414189	21.502763724723	15.2597981620431	-0.300569680439419	0.521337500707099	1.17482422765737	-0.157174438999905	0.0828125613944238	-0.248294741267829	-0.208368457261442	1.4668709924084e-102	1.41685902617358e-52	0.76374265441908	0.602131681511088	0.24006504513762	0.87510737262376	0.934000580889276	0.803906367498794	0.834941283245619	0.967928792442289	0.976382319013838	NA
MI0003556_MIMAT0003214	MI0003556_MIMAT0003214	chr1	3477273	3477294	hsa-miR-551a	MI0003556_MIMAT0003214	-	miRBase18_mature_miRNA	0.0620577248291779	0.105685684728685	0.387485713913539	0.44814717665752	0.472681229020547	-0.0130434791924542	-0.00272585183303674	0.168686723174252	-0.0214486394909708	0.374865254967532	0.0194598719975294	0.230197425344655	0.253049267114396	0.266141440466238	0.0860012784922677	0.00416339660041676	0.121306734224226	0.124332524848972	0.165546750483858	5.43095477411685	1.68327562019163	1.77098784662722	1.77605271915747	-0.151666108005905	-0.654718273239663	1.39058003871778	-0.172510286564393	0.868513655851937	5.60533400268518e-08	0.0923217477167948	0.076562722750025	0.0757242281902893	0.879450289767308	0.512649157964739	0.164352812865478	0.86303637508458	0.128937671836938	0.209259500194375	NA
MI0000268_MIMAT0000255	MI0000268_MIMAT0000255	chr1	9211793	9211815	hsa-miR-34a-5p	MI0000268_MIMAT0000255	-	miRBase18_mature_miRNA	6.68120075644759	0.166698338560318	-0.997656679749449	-0.0495352352306489	-0.0988113073173108	-0.0438770776129716	0.00370389412751643	0.155599524333849	0.0433381921541123	0.159131718326865	0.00941612973718822	0.116343223017579	0.0965997094800764	0.104096470800395	0.0396143869089887	0.00190531340582562	0.0559316012976134	0.05718092059604	41.9853491603983	17.703487867415	-8.57511640019379	-0.512788656376503	-0.949228216456842	-1.10760461126853	1.94398156029949	2.78196083652067	0.757913508603317	0	3.94124448398979e-70	9.89866339251388e-18	0.608099165585888	0.342504553574423	0.26803261108389	0.05189767478189	0.0054031559813427	0.448502762753791	0.00815884776481246	0.0207109212491393	NA
MI0000268_MIMAT0004557	MI0000268_MIMAT0004557	chr1	9211751	9211773	hsa-miR-34a-3p	MI0000268_MIMAT0004557	-	miRBase18_mature_miRNA	2.02401473850148	0.174294059908146	-1.3420521103483	-0.132505569086912	-0.0656258501747666	-0.105461813112933	0.00303711375502276	0.115793979037557	0.0750178181923067	0.224994525211102	0.0130656528848093	0.160731516347263	0.136137064822359	0.146534129944374	0.0558477253666055	0.00268825312075466	0.079153108116976	0.080927512668102	8.99583995033852	13.3398660935489	-8.34965127466836	-0.973324709621248	-0.447853685688645	-1.88838153068262	1.12977224189743	1.46291133465576	0.926975458889587	2.34432658301381e-19	1.35703071828607e-40	6.84648066494939e-17	0.330391945393883	0.654258795357898	0.0589747490026223	0.258572207513096	0.143491642083515	0.353939276303041	0.344173007483524	0.452584239442281	NA
MI0016756_MIMAT0018932	MI0016756_MIMAT0018932	chr1	24255610	24255630	hsa-miR-378f	MI0016756_MIMAT0018932	+	miRBase18_mature_miRNA	0.126212862302465	0.194739656109878	1.54807290841483	-0.51027214925495	-0.361548465123026	-0.017038718866453	-0.00333614581414356	0.199703647623264	0.256059385999112	0.359654899443301	0.0193949966872865	0.219738356256622	0.21267761685931	0.230332140428914	0.0891231157722841	0.00436684703208733	0.128604153785414	0.128077239904624	0.350927687896999	10.0407161315748	7.04507367210351	-2.39927528242196	-1.56968308656259	-0.191181813144731	-0.763971302321734	1.55285534522069	1.99925752764342	0.725642598906545	1.00938656374614e-23	1.85363405930104e-12	0.0164275595109281	0.116488857965159	0.84838315181772	0.44488434446922	0.12045769701532	0.045580497045424	0.132025416581702	0.213271826785826	NA
MI0009986_MIMAT0009451	MI0009986_MIMAT0009451	chr1	26881064	26881084	hsa-miR-1976	MI0009986_MIMAT0009451	+	miRBase18_mature_miRNA	1.43597445259369	0.15943093598372	0.365186581113862	-0.269458443821569	-0.288381927397087	-0.0378409989124572	-0.00216946982926919	-0.0139500915719378	0.151170429071001	0.242584467076118	0.0136471463431533	0.160689826378387	0.145340348474701	0.157717418552433	0.0604267473176491	0.00292201711275679	0.0862653148786287	0.0864066127813926	5.91948227312969	11.68236435478	2.27261793322207	-1.85398237068678	-1.82847227683488	-0.62622928739712	-0.742456236754342	-0.161711478032218	1.74952384088311	3.22956645223232e-09	1.56870444681585e-31	0.0230492139947397	0.0637416821899141	0.0674787026847606	0.531164559872662	0.457810957666024	0.871533065353875	0.0802005114304405	0.0461211658544304	0.0908010452759098	NA
